Target Name,Target No.
3I Group PLC,190
3I INFRASTRUCTURE PLC,12378
4finance S.A.,15299
50Hertz Transmission GmbH,7693
6PM HOLDINGS P.L.C.,15484
A2D FUNDING II PLC,9686
A2DOMINION HOUSING GROUP LIMITED,9599
AA BOND CO LIMITED,12464
AACI REIT MTN PTE. LTD.,17889
AADARSHINI REAL ESTATE DEVELOPERS PRIVATE LIMI,11876
AADVANTAGE LOYALTY IP LTD.,15048
AALOK SOLARFARMS LIMITED,11770
Aarekraftwerk Klingnau AG,5682
Aargauische Kantonalbank,5582
AarhusKarlshamn AB (publ),17447
"Aaron's Holdings Company, Inc.",25095
AB DEVON-KREDIT PAO,17242
AB Fortum Varme Holding samagt med Stockholms,17614
AB SCA Finans,17528
AB Sugar plc,9158
ABAPORU PARTICIPACOES S.A,4417
"ABC Financial Leasing Co., Ltd.",7012
"ABC International Investment (Suzhou) Co., Ltd",7230
"ABC Life Insurance Co., Ltd.",7084
ABCL Glory Capital Limited,25351
Aber Diamond Corp.,1327
ABERCROMBIE & FITCH MANAGEMENT CO.,23967
ABERDEEN NEW INDIA INVESTMENT TRUST PLC,8759
"Abertis Infraestructuras Finance, B.V.",16326
ABHA SOLARFARMS LIMITED,11783
ABHIRAJ REAL ESTATE PRIVATE LIMITED,11979
ABIGROVE LIMITED,7388
Abitibi-Consolidated Company of Canada,5062
ABJA INVESTMENT CO. PTE. LTD.,17901
ABK Bank SCRL,3800
ABP FINANCE PLC,9512
ABQ FINANCE LIMITED,14980
Absan Proprietary Limited,25575
Abu Dhabi International Bank Inc.,22061
"AC Bebidas, S. de R.L. de C.V.",15677
"ACADEMY, LTD.",22873
ACCENT CAPITAL PLC,9924
ACCENT HOUSING LIMITED,9925
Access Finance B.V.,16330
ACCIONA ENERGIA FINANCIACION FILIALES SA,8175
"Acciona Financiacion Filiales, S.A. Unipersona",8146
ACE Capital Trust II,21613
ACE INA Holdings Inc.,21573
Ace Limited,950
ACEF Holding SCA,15404
ACEF S/A.,4384
ACEN FINANCE LIMITED,15052
"ACH, druzba za gospodarjenje z nalozbami, d.d.",17998
Achmea B.V.,16235
Achmea Bank N.V.,16140
Acindar Industria Argentina de Aceros S.A.,2761
ACKERMANS & VAN HAAREN COORDINATION CENTER NV,3802
Acquisition Co. Lanza Parent,23179
ACROSS FinCo S.a r.l.,15402
ACS Actividades Finance 2 B.V.,16362
ACS Actividades Finance B.V.,16353
"ACS, Servicios Comunicaciones y Energia, S.L.",8161
Actavis Funding SCS,15293
Actavis Public Limited Company,23727
ACTCALL INC.,13632
"Acuity Brands Lighting, Inc.",22938
ACUSHNET COMPANY,23772
Acxiom Corporation,18641
ADANI ABBOT POINT TERMINAL PTY LTD,3530
ADANI AHMEDABAD INTERNATIONAL AIRPORT LIMITED,12001
Adani Electricity Mumbai Ltd,11871
Adaptec Inc,2140
Addnode Group Aktiebolag (publ),17395
"ADECCO FINANCIAL SERVICES (NORTH AMERICA), LLC",24637
Adecco International Financial Services B.V.,16242
ADIB CAPITAL INVEST 2 LTD.,15019
adidas International Finance B.V.,16219
ADIENT US LLC,24368
Adif Alta Velocidad,8124
ADM AG Holding Limited,25425
ADO Treasury GmbH,7810
Adolf Wuerth GmbH & Co. KG,7628
ADOP Co.,22403
"ADRIA MOBIL Proizvodnja, trgovina in storitve,",18002
"ADT CAPS Co.,Ltd",14611
Adtran Inc,19661
Aduro Biotech Inc,24110
ADVANCE WISDOM INVESTMENTS LIMITED,25317
Advanced Wireless Network Company Limited,18152
ADVANTAGE SALES & MARKETING INC.,22625
Adventure Marketing Pvt. Ltd.,11873
ADYAH SOLAR ENERGY PRIVATE LIMITED,12014
"AECOM GLOBAL II, LLC",24026
AEDAS HOMES OPCO SL,8173
AEGIDE S.A.,8597
AEGIS GAS (LPG) PRIVATE LIMITED,11750
Aegis Group Capital (Jersey) Limited,12449
AEGON Bank N.V.,16201
AEGON Funding Company LLC,21571
AEON CREDIT SERVICE (PHILIPPINES) INC.,16915
"AEON Product Finance Co., Ltd.",13584
"AEP TRANSMISSION COMPANY, LLC",24262
AerCap Aviation Solutions B.V.,16328
AERCAP GLOBAL AVIATION TRUST,11037
AerCap Ireland Capital Limited,11034
AERCAP IRELAND LIMITED,10914
