ISSUER_NAME,No. 
"Zhuhai United Laboratories Co., Ltd.",6746
"AVIC INTERNATIONAL LEASING CO., LTD.",6750
"Shanghai Urban Development (Group) Co., Ltd.",6751
Hydrochina Corporation,6754
"Shandong Hongqiao New Material Co., Ltd.",6755
Nanjing Yurun Food Co Ltd,6756
CHINA CONSTRUCTION SECOND ENGINEERING BUREAU L,6757
"Tianneng Battery Group Co., Ltd.",6758
"Powerchina Hydropower Development Group Co., L",6759
"Yunnan Provincial Energy Investment Group Co.,",6760
"ICBC Financial Leasing Co., Ltd.",6761
"SINOHYDRO BUREAU 7 CO., LTD.",6762
FUTURE LAND DEVELOPMENT HOLDINGS LIMITED,6764
YY INC.,6765
HUARONG XIANGJIANG BANK CORPORATION LIMITED,6766
"Southwest Cement Co., Ltd.",6767
"Yunnan Lucky Air Co., Ltd.",6768
"Nine Dragons Paper Industries (Chongqing) Co.,",6769
CITIC Corporation Limited,6770
"Guangzhou City Construction & Development Co.,",6771
"Datang Heilongjiang Power Generation Co., Ltd.",6772
China Gezhouba Group Ltd.,6775
North Cement Co Ltd,6776
"Doosan Infracore (China) Co.,Ltd.",6777
"Modern Farming (Group) CO., Ltd",6778
"Shandong Weiqiao Aluminum and Power Co., Ltd.",6779
China Construction First Building (Group) Corp,6780
SUPOR GROUP,6781
"China Triumph International Engineering Co.,Lt",6782
Zhejiang Datang Wushashan Power Generation Co.,6783
"Minsheng Financial Leasing Co., Ltd.",6785
"CMB Financial Leasing Co., Ltd.",6786
"CCCC Third Harbor Engineering Co., Ltd.",6788
China Construction Seventh Engineering Divisio,6789
"China Railway 24th Bureau Group Co., Ltd.",6790
China Energy Shandong Power Company Ltd.,6792
"Shanghai Star Group Co.,Ltd.",6793
"Nine Dragons Paper Industries (Tianjin) Co., L",6794
"Beijing Jingdong Century Trading Co., Ltd.",6798
Sinohydro Engineering Bureau 8 Corporation Lim,6799
