ISSUER_NAME,No. 
Indorama Ventures Public Company Limited,18133
Bangkok Mass Transit System Public Company Lim,18135
Thai Thamrong Finance and Securities Company L,18139
ICBC (Thai) Leasing Company Limited,18140
Sumitomo Mitsui Banking Corporation,18141
KT ZMICO Securities Company Limited,18142
B.Grimm BIP Power 2 Company Limited,18147
True Move H Universal Communication Company Li,18149
TISCO Tokyo Leasing Company Limited,18150
Advanced Wireless Network Company Limited,18152
CFG Services Company Limited,18154
CPF (Thailand) Public Company Limited,18157
dtac TriNet Company Limited,18158
Center Auto Lease Company Limited,18161
Amata B. Grimm Power SPV 1 Company Limited,18163
PTTEP Treasury Center Company Limited,18164
Krungsriayudhya Card Company Limited,18165
Thaioil Treasury Center Company Limited,18167
B.Grimm BIP Power 1 Company Limited,18168
GC Treasury Center Company Limited,18169
SCG CERAMICS PUBLIC COMPANY LIMITED,18170
RISLAND (THAILAND) COMPANY LIMITED,18171
Indorama Ventures Global Services Limited,18173
PTT TREASURY CENTER COMPANY LIMITED,18174
CITICORP LEASING (THAILAND) COMPANY LIMITED,18176
CP Foods Capital Limited,18177
BBGI PUBLIC COMPANY LIMITED,18180
Triple T Broadband Public Company Limited,18181
BANQUE TUNISO KOWETIENNE S.A.,18189
Arab International Lease S.A.,18190
YAPI KREDI FINANSAL KIRALAMA ANONIM ORTAKLIGI,18193
Kordsa Global Endustriyel Iplik ve Kord Bezi S,18202
Turkiye Sise ve Cam Fabrikalari A.S.,18207
CIMSA CIMENTO SANAYI VE TICARET ANONIM SIRKETI,18209
TRAKYA CAM SANAYII ANONIM SIRKETI,18233
TURK TRAKTOR VE ZIRAAT MAKINELERI ANONIM SIRKE,18235
TURKIYE CUMHURIYETI ZIRAAT BANKASI ANONIM SIRK,18241
TURKIYE IHRACAT KREDI BANKASI ANONIM SIRKETI,18242
Garanti Finansal Kiralama AS,18243
ING Bank AS.,18244
BankPozitif Kredi ve Kalkinma Bankasi A.S.,18245
YAPI KREDI FAKTORING ANONIM SIRKETI,18246
HSBC BANK ANONIM SIRKETI,18247
Deniz Finansal Kiralama AS,18249
DenizFactoring A.S.,18250
YAPI KREDI FAKTORING ANONIM SIRKETI,18251
