Target Name,Target No.
FPL Energy Caithness Funding Corp,21778
"FPL Energy Marcus Hook, L.P.",22574
"FPL Energy National Wind Portfolio, LLC",21975
"FPL Energy National Wind, LLC",21981
FPL Energy Virginia Funding Corp,21770
FPL Energy Wind Funding LLC,21869
FPMH Finance Limited,25266
FPT Finance Limited,25256
FQM (Akubra) Inc,5315
FQM (Akubra) Inc.,5255
FRANFINANCE S.A.,8517
Frankfurter Sparkasse,7623
FRANKLIN SYNERGY BANK,22708
"Franklin Templeton Bank & Trust, F.S.B.",22152
Franklin Templeton Investimentos Brasil Ltda.,4177
Franshion Brilliant Limited,25294
Franshion Capital Limited,10439
Franshion Development Limited,25233
Franshion Investment Limited,25262
FREEPORT MINERALS CORPORATION,24127
Fresenius Finance B.V.,16165
Fresenius Finance Ireland Public Limited Compa,11066
"Fresenius Medical Care US Finance II, Inc.",23282
"FRESENIUS MEDICAL CARE US FINANCE III, INC.",24862
"Fresenius U.S. Finance II, Inc.",22699
FRIENDS LIFE FPL LIMITED,8777
Friesland Bank N.V.,16149
Frontier North Inc.,21625
Frontier West Virginia Inc,21019
FSA Global Funding Limited,14682
FSBS CAPITAL TRUST I,21913
F-Secure Oyj,8191
FTA Santander Consumer Spain Auto 06,8062
"FTD Companies, Inc.",23733
FTPYME BANCAJA 3 Fondo de Titulizacion de Acti,8033
"Fubon Bank (China) Co., Ltd.",6440
Fugro NV,16078
"Fuji Xerox Co., Ltd.",13495
"Fujian Fuqing Nuclear Power Co., Ltd.",7205
FUJIFILM Finance Europe B.V.,16183
Fujitsu EMEA PLC,9057
Fukuoka Preferred Capital Cayman Ltd,14782
"Fukushima LTD.,",13650
Fulton Bank of New Jersey.,23164
"Fulton Bank, National Association",22144
Fulton Capital Trust I,22050
Func Food Group Oyj,8233
Fuqing Investment Management Limited,25339
FURNAS Centrais Eletricas S.A.,4102
Future Diamond Limited,25427
FUTURE LAND DEVELOPMENT HOLDINGS LIMITED,6764
FUTURES HOUSING GROUP LIMITED,9904
FUTURES TREASURY PLC,9905
FUTURISTIC MEDIA AND ENTERTAINMENT LIMITED,12043
FUXIANG INVESTMENT MANAGEMENT LIMITED,25361
FWCT-2 Escrow Corporation,23817
Fysikhuset Stockholm KB,17533
G M A C FINANCIERA DE COLOMBIA S A COMPANIA DE,7327
G TERIOR Corporation,13662
G&K Services Canada Inc.,4992
G3 Canada Limited,5009
Gadot Biochemical Industries Ltd.,11104
Gain Silver Finance Limited,25216
"GALA CAPITAL, SICAV, S.A.",7970
Galaxy Futures Company Limited,6984
GALE SOLARFARMS LIMITED,11798
GALLERIA DEVELOPERS PRIVATE LIMITED,11624
Galliaden Holding AB (publ),17693
"GALP GAS NATURAL DISTRIBUICAO, S.A.",17076
GAMUDA LAND (T12) SDN. BHD.,16025
GANDALF CAPITAL SDN. BHD.,15858
GANNETT HOLDINGS LLC,24930
Gansu Province Highway Traffic Construction Gr,7140
Gansu Provincial Highway Aviation Tourism Inve,6672
Garanti Bank SA,17124
GARANTI DIVERSIFIED PAYMENT RIGHTS FINANCE COM,14778
Garanti Filo Yonetim Hizmetleri Anonim Sirketi,18264
Garanti Finansal Kiralama AS,18243
"GARDNER DENVER HOLDINGS, INC.",23645
Garfunkelux Holdco 2 S.A.,15330
Garfunkelux Holdco 3 S.A.,15324
Garfunkelux S.a r.l.,15341
GARRETT LX I S.a r.l.,5677
