Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
"ABN AMRO Bank (Mexico), S.A.",15597,abn amro bank (mexico),abn,ABN Amro Bank (BRN),223652,95.6,abn amro,ABN Amro Bank (BRN),223652,95.6,abn amro bank,ABN Amro Bank (BRN),223652,95.6
ABN Amro Capital Finance Ltd,12379,abn amro capital finance,abn,ABN Amro Capital Funding (AMS) Trust V,233914,95.0,abn amro,ABN Amro Capital Funding (AMS) Trust V,233914,95.0,abn amro capital,ABN Amro Capital Funding (AMS) Trust V,233914,95.0
ABN Amro Capital Funding Trust II,21508,abn amro capital funding ii,abn,ABN Amro Capital Funding (AMS) Trust V,233914,97.0,abn amro,ABN Amro Capital Funding (AMS) Trust V,233914,97.0,abn amro capital,ABN Amro Capital Funding (AMS) Trust V,233914,97.0
ABN AMRO Clearing Bank N.V.,16371,abn amro clearing bank n.v.,abn,ABN Amro Bank (BRN),223652,93.0,abn amro,ABN Amro Bank,87531,93.0,abn amro clearing,ABN Amro,78552,89.2
ABN AMRO Funding USA LLC,23047,abn amro funding usa,abn,ABN Amro Holding,14108,94.39999999999999,abn amro,ABN Amro Holding,14108,94.39999999999999,abn amro funding,ABN Amro,78552,91.39999999999999
ABN AMRO Groenbank B.V.,16244,abn amro groenbank b.v.,abn,ABN Amro Bank,87531,94.39999999999999,abn amro,ABN Amro Bank,87531,94.39999999999999,abn amro groenbank,ABN Amro,78552,90.4
ADANI GAS HOLDINGS LIMITED,11785,adani gas holdings,adani,Adani Gas,23933,93.39999999999999,adani gas,Adani Gas,23933,93.39999999999999,adani gas holdings,Adani Gas,23933,93.39999999999999
ADANI GREEN ENERGY TWENTY THREE LIMITED,11950,adani green energy twenty three,adani,Adani Green Energy,97102,94.6,adani green,Adani Green Energy Limited,23934,94.6,adani green energy,Adani Green Energy Limited,23934,94.6
ADANI GUWAHATI INTERNATIONAL AIRPORT LIMITED,12049,adani guwahati international airport,adani,Adani Power (National India),220959,91.8,adani guwahati,ADA,90971,83.0,adani guwahati international,International,206505,90.6
ADANI JAIPUR INTERNATIONAL AIRPORT LIMITED,12047,adani jaipur international airport,adani,Adani Power (National India),220959,92.2,adani jaipur,IPU,42573,83.2,adani jaipur international,International,206505,91.0
ADANI LUCKNOW INTERNATIONAL AIRPORT LIMITED,11997,adani lucknow international airport,adani,Adani Power (National India),220959,92.6,adani lucknow,ANI,125024,83.2,adani lucknow international,International,206505,90.8
ADANI MANGALURU INTERNATIONAL AIRPORT LIMITED,11990,adani mangaluru international airport,adani,Adani Enterprises (National India),220958,91.2,adani mangaluru,ADA,90971,83.0,adani mangaluru international,International,206505,90.4
ADANI POWER (MUNDRA) LIMITED,11813,adani power (mundra),adani,Adani Power (National India),220959,94.2,adani power,Adani Power (National India),220959,94.2,adani power (mundra),Adani Power,97164,94.2
ADANI RENEWABLE ENERGY (GJ) LIMITED,11930,adani renewable energy (gj),adani,Adani Green Energy,97102,94.2,adani renewable,Renewable,131633,90.0,adani renewable energy,Able Energy,127822,91.6
ADANI RENEWABLE ENERGY (KA) LIMITED,11947,adani renewable energy (ka),adani,Adani Green Energy,97102,94.2,adani renewable,Renewable,131633,90.0,adani renewable energy,Able Energy,127822,91.6
ADANI RENEWABLE ENERGY (RJ) LIMITED,11918,adani renewable energy (rj),adani,Adani Green Energy,97102,94.2,adani renewable,Renewable,131633,90.0,adani renewable energy,Able Energy,127822,91.6
ADANI SOLAR ENERGY JODHPUR TWO LIMITED,12016,adani solar energy jodhpur two,adani,Adani Green Energy,97102,91.6,adani solar,ADA,90971,83.6,adani solar energy,Solar Energy,57595,91.39999999999999
ADANI THIRUVANANTHAPURAM INTERNATIONAL AIRPORT,12046,adani thiruvananthapuram international airport,adani,Adani Enterprises (National India),220958,91.0,adani thiruvananthapuram,Pura,49930,83.2,adani thiruvananthapuram international,International,206505,88.8
ADANI VIZHINJAM PORT PRIVATE LIMITED,12050,adani vizhinjam port private,adani,Adani Enterprises,97107,90.6,adani vizhinjam,ADA,90971,83.8,adani vizhinjam port,Port,112850,85.0
Adani Welspun Exploration Ltd.,11951,adani welspun exploration,adani,Adani Enterprises,97107,91.39999999999999,adani welspun,Welspun,98182,88.8,adani welspun exploration,Welspun,98182,88.8
