Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
RUSAL CAPITAL DESIGNATED ACTIVITY COMPANY,11068,rusal capital designated activity,rusal,United Company Rusal,289967.0,United Company Rusal (Non-NASDAQ OTC),240603.0,Jerusalem Real Estate Investment,137125,99.52,Jerusalem Cigarette,110718,99.5,Jerusalem Technology Ordinary,27255,99.45,Jerusalem Insurance Company PSC,110719,99.43,Rusalka AD,3661,99.42,Jerusalem Pharmaceuticals,137124,99.41,Jerusalem Exchange,19047,99.39,Jerusalem Finance and Issuance (2005) P1 Preference,145321,99.38,Jerusalem Economy,27254,99.36,Jerusalem Economy (Non-NASDAQ OTC),246556,99.36
RUTA DEL BOSQUE SOCIEDAD CONCESIONARIA S.A.,5751,ruta del bosque sociedad concesionaria,ruta,,,,,Perutalia Inversion,38025,99.49,Amrutanjan Health Care,98566,99.37,Trutankless,132383,99.33,Frutarom GDR,205431,99.32,Frutarom GDR (Frankfurt),283388,99.32,Pomifrutas On,85463,99.31,Pomifrutas On,152491,99.31,Fruta Fruta,109681,99.29,Daido Maruta,25403,99.28,China Rutai International Holdings,53222,99.24
RUTA DEL LOA SOCIEDAD CONCESIONARIA S.A.,5807,ruta del loa sociedad concesionaria,ruta,,,,,Perutalia Inversion,38025,99.52,Amrutanjan Health Care,98566,99.42,Daido Maruta,25403,99.34,Frutarom GDR,205431,99.34,Frutarom GDR (Frankfurt),283388,99.34,Pomifrutas On,85463,99.33,Pomifrutas On,152491,99.33,Trutankless,132383,99.3,Fruta Fruta,109681,99.3,China Rutai International Holdings,53222,99.26
Ruta del Maipo Sociedad Concesionaria S.A.,5748,ruta del maipo sociedad concesionaria,ruta,,,,,Perutalia Inversion,38025,99.5,Amrutanjan Health Care,98566,99.41,Daido Maruta,25403,99.33,Frutarom GDR,205431,99.33,Frutarom GDR (Frankfurt),283388,99.33,Pomifrutas On,85463,99.32,Pomifrutas On,152491,99.32,Trutankless,132383,99.29,Fruta Fruta,109681,99.29,China Rutai International Holdings,53222,99.25
Ruta del Maule Sociedad Concesionaria S.A.,5750,ruta del maule sociedad concesionaria,ruta,,,,,Perutalia Inversion,38025,99.5,Amrutanjan Health Care,98566,99.41,Trutankless,132383,99.33,Daido Maruta,25403,99.33,Frutarom GDR,205431,99.33,Frutarom GDR (Frankfurt),283388,99.33,Pomifrutas On,85463,99.32,Pomifrutas On,152491,99.32,Fruta Fruta,109681,99.29,China Rutai International Holdings,53222,99.25
Rutas de Lima S.A.C.,16838,rutas de lima s.a.c.,rutas,,,,,Frutas,8071,99.38,Pomifrutas On,85463,99.36,Pomifrutas On,152491,99.36,TAS (XETRA),315984,99.26,Ta Holdings,50943,99.18,AS Company,91243,99.18,Ta,123225,99.18,T Bank,22692,99.1,Daido Maruta,25403,88.49,Naruta,28604,88.42
Ruwais Power Company PJSC,2711,ruwais power pjsc,ruwais,,,,,WA Holdings,51528,99.21,AI,107553,99.21,AI Holdings,107555,99.21,WA,114815,99.21,Aifs,62107,85.43,Aits,62119,85.43,Maruwa,28121,79.55,Maruwa,106838,79.55,Maruwa (London),218282,79.55,Maruwa (Frankfurt),272503,79.55
RWE Finance BV,16188,rwe bv,rwe,RWE,87438.0,RWE (Non-NASDAQ OTC),248503.0,RWE AG + (EASDAQ),296877,99.73,Norweb,49386,99.67,RWE,87438,99.67,RWE (XETRA),95411,99.67,RWE (Swiss Stock Exchange),180498,99.67,RWE (Prague),213512,99.67,RWE (Mexico),218725,99.67,RWE (SEAQ International),222663,99.67,RWE (Swiss Stock Exchange),225601,99.67,RWE (Swiss Stock Exchange),228567,99.67
Ryder Truck Rental Canada Ltd,5188,ryder truck rental canada,ryder,Ryder Capital,85937.0,,,Ryder Capital,85937,99.53,Ryder System,134962,99.43,Ryder System (Pet),252291,99.43,Ryder System (Frankfurt),265881,99.43,Ryder System (XETRA),308157,99.43,Ignatip Karyer,42487,88.32,Schroder Oriental Income Fund Limited,50351,79.76,Schroder Korea Fund,50350,79.75,Dreyer's Grand ICE Cream Holdings Inc Class A,71977,79.73,Riders Resources A,11759,79.71000000000001
RZB Finance (Jersey) II Limited,12405,rzb ii,rzb,,,,,Orzbialy,112543,99.57000000000001,Commerzbank Rights (Non-NASDAQ OTC),235535,99.42,Commerzbank AG + (EASDAQ),294053,99.42,Orzbialy PDA Series B,180060,99.37,Stavoudrzba,22498,99.35,Commerzbank,87547,99.35,Commerzbank (XETRA),92001,99.35,Commerzbank,165804,99.35,Commerzbank (Milan),173156,99.35,Commerzbank (Brussels),215188,99.35
