Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
MTR Corporation (C.I.) Ltd,14729,Capital M,29219,90,"[('Capital M', 90), ('MTR', 90), ('DP Aircraft I', 86), ('C A S Commodity and Financial Futures Accumulation', 86), (""Great Plains Ethanol Capital Unit Class 'C'"", 86), ('Abwicklungsgesellschaft Biogas I', 86), ('Abwicklungsgesellschaft Biogas I (XETRA)', 86), ('Pirelli and C', 86), ('C T I Traffic Industries', 86), ('I Yuan Precision Industrial', 86)]"
Signum Hazel Limited,14730,El Corporation,16423,90,"[('El Corporation', 90), ('Sign', 90), ('Azel', 90), ('SIG', 90), ('Aziel', 80), ('Azelio', 72), ('Ely Capital', 72), ('Elk', 72), ('Azwell', 72), ('ELQ', 72)]"
BPE Finance International Limited,14731,International Finance Corporation,31574,95,"[('International Finance Corporation', 95), ('National', 90), ('Terna', 90), ('Tern', 90), ('Inter', 90), ('National', 90), ('National', 90), ('Tern', 90), ('National', 90), ('International', 90)]"
TMB BANK PUBLIC COMPANY LIMITED,14732,Security Bank,136665,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Trust Company', 90), ('LIC', 90), ('Public Company Limited', 90)]"
SOL MELIA FINANCE LIMITED,14733,Sol,10960,90,"[('Sol', 90), ('INA', 90), ('Geo Finance', 86), ('The Housing Bank for Trade and Finance', 86), ('Asia Al Iraq Isbk for Investment and Finance', 86), ('Al Taif Isbk for Investment and Finance', 86), ('Canterbury SRY Hills Community Finance', 86), ('Equitas Small Finance Bank', 86), ('Erbil Bank for Investment and Finance', 86), ('Merchant Bank of Sri Lanka and Finance', 86)]"
Morgan Stanley Asia Securities Products LLC,14734,Morgan Stanley,143292,90,"[('Morgan Stanley', 90), ('Asia Securities', 90), ('Asia Securities', 90), ('Asia Securities', 90), ('Asia Securities', 90), ('Morgan Stanley', 90), ('Stanley', 90), ('Stanley', 90), ('Morgan Stanley', 90), ('Capital Product', 90)]"
RF Alts Finance I Ltd,14735,S&F Capital,15257,90,"[('S&F Capital', 90), ('INA', 90), ('Geo Finance', 86), ('Abwicklungsgesellschaft Biogas I', 86), ('Abwicklungsgesellschaft Biogas I (XETRA)', 86), ('I Yuan Precision Industrial', 86), ('ML Select Futures I Limited Partnership', 86), ('The Housing Bank for Trade and Finance', 86), ('Asia Al Iraq Isbk for Investment and Finance', 86), ('Al Taif Isbk for Investment and Finance', 86)]"
CORVUS INVESTMENTS LIMITED,14736,Capital Investments,29218,90,"[('Capital Investments', 90), ('INV', 90), ('Capital Investments', 90), ('Corvus Capital', 90), ('NTS', 90), ('NTS', 90), ('ENT', 90), ('Investment Trust Corporation', 90), ('Corvu', 90), ('NVE', 90)]"
Sun Hung Kai Properties Treasury (Cayman) Ltd,14737,Roper,22655,90,"[('Roper', 90), ('Cayman Corporation', 90), ('Sun Hung Kai Properties', 90), ('Capital Properties', 90), ('Capital Properties', 90), ('Sun Hung Kai Properties', 90), ('Sun Hung Kai (SZS) Properties', 87), (""Sun-Create Electronics 'A'"", 86), ('Ocean Sun', 86), ('Sun Source (India)', 86)]"
"Sabadell International Equity, Ltd",14738,Equity International,118971,95,"[('Equity International', 95), ('Equity International', 95), ('National', 90), ('Terna', 90), ('Equity', 90), ('Tern', 90), ('Equity', 90), ('Inter', 90), ('National', 90), ('National', 90)]"
