Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
"ABB Treasury Center (USA), Inc.",22170,abb treasury center (usa),abb,Gabbs Resources,8104,92.0,abb treasury,ABB AG,41065,84.2,abb treasury center,Center Trust,63414,87.8
ABENGOA GREENBRIDGE SOCIEDAD ANONIMA,8139,abengoa greenbridge sociedad anonima,abengoa,Abengoa Unsponsored ADR 2:1,202193,90.2,abengoa greenbridge,Enbridge,80272,87.2,abengoa greenbridge sociedad,Enbridge,80272,87.2
ALLEGIANCE BANK,23778,allegiance bank,allegiance,Allegiance Coal,81113,96.0,allegiance bank,Allegiance,62174,96.0,allegiance bank,Allegiance,62174,96.0
Abbey National North America LLC,22176,abbey national north america,abbey,Abbey National (XETRA),309454,94.4,abbey national,Abbey National (XETRA),309454,94.4,abbey national north,Abbey National,44635,93.4
Abbey National Treasury Services PLC,8987,abbey national treasury services,abbey,Abbey National (XETRA),309454,93.4,abbey national,Abbey National (XETRA),309454,93.4,abbey national treasury,Abbey National,44635,92.2
Abbey National Treasury Services PLC (Stamford,23202,abbey national treasury services (stamford,abbey,Abbey National ADR Preferred (Berlin),303841,92.2,abbey national,Abbey National ADR Preferred (Berlin),303841,92.2,abbey national treasury,Abbey National,44635,90.0
"Abengoa Finance, S.A.U.",8099,abengoa finance s.a.u.,abengoa,Abengoa B Shares,162182,91.6,abengoa finance,Abengoa,90934,89.6,abengoa finance s.a.u.,Abengoa,90934,89.6
Abengoa Mexico S.A. de C.V.,15628,abengoa mexico de c.v.,abengoa,Abengoa ADR,202192,91.0,abengoa mexico,Abengoa,90934,89.6,abengoa mexico de,Abengoa,90934,89.6
"Abengoa Transmision Sur, S.A.",16828,abengoa transmision sur,abengoa,Abengoa ADR,202192,91.8,abengoa transmision,Abengoa,90934,89.4,abengoa transmision sur,Abengoa,90934,89.4
"American Axle & Manufacturing, Inc.",21538,american axle & manufacturing,american,American Axle and Manufacturing,133680,98.6,american axle,American Axle and Manufacturing,133680,98.6,american axle &,American Axle and Manufacturing,133680,93.0
Ashland Inc,1022,ashland,ashland,Land,111227,94.6,ashland,Land,111227,94.6,ashland,Land,111227,94.6
BBGI PUBLIC COMPANY LIMITED,18180,bbgi public company,bbgi,Bbgi Public Company Limited NVDR,174653,97.6,bbgi public,Bbgi Public Company Limited NVDR,174653,97.6,bbgi public company,Bbgi Public Company Limited NVDR,174653,97.6
Barclays Bank PLC,21197,barclays bank,barclays,Cairo Barclays Bank,15583,96.2,barclays bank,Cairo Barclays Bank,15583,96.2,barclays bank,Cairo Barclays Bank,15583,96.2
Barclays Bank PLC,8444,barclays bank,barclays,Cairo Barclays Bank,15583,96.2,barclays bank,Cairo Barclays Bank,15583,96.2,barclays bank,Cairo Barclays Bank,15583,96.2
Barclays Bank PLC,13558,barclays bank,barclays,Cairo Barclays Bank,15583,96.2,barclays bank,Cairo Barclays Bank,15583,96.2,barclays bank,Cairo Barclays Bank,15583,96.2
Barclays Bank PLC,17053,barclays bank,barclays,Cairo Barclays Bank,15583,96.2,barclays bank,Cairo Barclays Bank,15583,96.2,barclays bank,Cairo Barclays Bank,15583,96.2
