Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word,TRUE
1st Source Bank,22239,1st source bank,1st,21STORE,31840,91.0,1st source,URC,114704,86.6,1st source bank,Trust Bank,86763,88.4,1st source
21st Century Insurance Group,21615,21st century insurance group,21st,21STORE,31840,86.8,21st century,Century,117608,88.0,21st century insurance,Twenty First Century Insurance Group,61962,89.0,21st century
360 Capital Industrial Fund,3543,360 capital industrial fund,360,360 Capital REIT Units,80905,93.8,360 capital,360 Capital Group Stapled Units,80904,93.8,360 capital industrial,Capital Securities,115447,88.2,
"AAG Holding Company, Inc.",20767,aag holding company,aag,AAG Holdings Company 7.5% Preferred,142184,94.0,aag holding,AAG Holdings Company 7.5% Preferred,142184,94.0,aag holding company,Yang Holding Company,69435,94.4,AAG
ABB Finance (Australia) Pty Limited,3541,abb finance (australia) pty,abb,ABB Grain (XETRA),309452,91.0,abb finance,B F,91340,84.0,abb finance (australia),Austral,177447,88.2,ABB 
ABB International Finance Limited,9993,abb international finance,abb,Aabbax International Financial,4718,97.4,abb international,International,206505,93.6,abb international finance,National Finance,43130,95.6,ABB
"ABN AMRO Bank (Mexico), S.A.",15597,abn amro bank (mexico),abn,ABN Amro Bank (BRN),223652,95.6,abn amro,ABN Amro Bank (BRN),223652,95.6,abn amro bank,ABN Amro Bank (BRN),223652,95.6,Abn amro bank
ABN AMRO Clearing Bank N.V.,16371,abn amro clearing bank n.v.,abn,ABN Amro Bank (BRN),223652,93.0,abn amro,ABN Amro Bank,87531,93.0,abn amro clearing,ABN Amro,78552,89.2,Abn amro bank
ABN AMRO Funding USA LLC,23047,abn amro funding usa,abn,ABN Amro Holding,14108,94.4,abn amro,ABN Amro Holding,14108,94.4,abn amro funding,ABN Amro,78552,91.4,Abn amro bank
ABN AMRO Groenbank B.V.,16244,abn amro groenbank b.v.,abn,ABN Amro Bank,87531,94.4,abn amro,ABN Amro Bank,87531,94.4,abn amro groenbank,ABN Amro,78552,90.4,Abn amro bank
ABN Amro Capital Finance Ltd,12379,abn amro capital finance,abn,ABN Amro Capital Funding (AMS) Trust V,233914,95.0,abn amro,ABN Amro Capital Funding (AMS) Trust V,233914,95.0,abn amro capital,ABN Amro Capital Funding (AMS) Trust V,233914,95.0,Abn amro bank
ABN Amro Capital Funding Trust II,21508,abn amro capital funding ii,abn,ABN Amro Capital Funding (AMS) Trust V,233914,97.0,abn amro,ABN Amro Capital Funding (AMS) Trust V,233914,97.0,abn amro capital,ABN Amro Capital Funding (AMS) Trust V,233914,97.0,Abn amro bank
ABPA HOLDINGS LIMITED,9511,abpa holdings,abpa,BP,124430,85.4,abpa holdings,Holdings,206120,95.2,abpa holdings,Holdings,206120,95.2,
AC ENERGY FINANCE INTERNATIONAL LIMITED,15025,ac energy finance international,ac,Centrack International,53067,95.0,ac energy,AC Energy Corporation,106261,93.0,ac energy finance,AC Energy,69560,89.0,AC Energy
ADANI GAS HOLDINGS LIMITED,11785,adani gas holdings,adani,Adani Gas,23933,93.4,adani gas,Adani Gas,23933,93.4,adani gas holdings,Adani Gas,23933,93.4,ADANI GAS
ADANI GREEN ENERGY TWENTY THREE LIMITED,11950,adani green energy twenty three,adani,Adani Green Energy,97102,94.6,adani green,Adani Green Energy Limited,23934,94.6,adani green energy,Adani Green Energy Limited,23934,94.6,ADANI
ADANI GUWAHATI INTERNATIONAL AIRPORT LIMITED,12049,adani guwahati international airport,adani,Adani Power (National India),220959,91.8,adani guwahati,ADA,90971,83.0,adani guwahati international,International,206505,90.6,ADANI
ADANI JAIPUR INTERNATIONAL AIRPORT LIMITED,12047,adani jaipur international airport,adani,Adani Power (National India),220959,92.2,adani jaipur,IPU,42573,83.2,adani jaipur international,International,206505,91.0,ADANI
ADANI LUCKNOW INTERNATIONAL AIRPORT LIMITED,11997,adani lucknow international airport,adani,Adani Power (National India),220959,92.6,adani lucknow,ANI,125024,83.2,adani lucknow international,International,206505,90.8,ADANI
ADANI MANGALURU INTERNATIONAL AIRPORT LIMITED,11990,adani mangaluru international airport,adani,Adani Enterprises (National India),220958,91.2,adani mangaluru,ADA,90971,83.0,adani mangaluru international,International,206505,90.4,ADANI
ADANI POWER (MUNDRA) LIMITED,11813,adani power (mundra),adani,Adani Power (National India),220959,94.2,adani power,Adani Power (National India),220959,94.2,adani power (mundra),Adani Power,97164,94.2,ADANI
ADANI RENEWABLE ENERGY (GJ) LIMITED,11930,adani renewable energy (gj),adani,Adani Green Energy,97102,94.2,adani renewable,Renewable,131633,90.0,adani renewable energy,Able Energy,127822,91.6,ADANI
ADANI RENEWABLE ENERGY (KA) LIMITED,11947,adani renewable energy (ka),adani,Adani Green Energy,97102,94.2,adani renewable,Renewable,131633,90.0,adani renewable energy,Able Energy,127822,91.6,ADANI
ADANI RENEWABLE ENERGY (RJ) LIMITED,11918,adani renewable energy (rj),adani,Adani Green Energy,97102,94.2,adani renewable,Renewable,131633,90.0,adani renewable energy,Able Energy,127822,91.6,ADANI
ADANI SOLAR ENERGY JODHPUR TWO LIMITED,12016,adani solar energy jodhpur two,adani,Adani Green Energy,97102,91.6,adani solar,ADA,90971,83.6,adani solar energy,Solar Energy,57595,91.4,ADANI
ADANI THIRUVANANTHAPURAM INTERNATIONAL AIRPORT,12046,adani thiruvananthapuram international airport,adani,Adani Enterprises (National India),220958,91.0,adani thiruvananthapuram,Pura,49930,83.2,adani thiruvananthapuram international,International,206505,88.8,ADANI
ADANI VIZHINJAM PORT PRIVATE LIMITED,12050,adani vizhinjam port private,adani,Adani Enterprises,97107,90.6,adani vizhinjam,ADA,90971,83.8,adani vizhinjam port,Port,112850,85.0,ADANI
ADANI WIND ENERGY (GUJARAT) PRIVATE LIMITED,11881,adani wind energy (gujarat) private,adani,Adani Enterprises,97107,90.8,adani wind,ADA,90971,83.2,adani wind energy,Energy,79025,85.8,ADANI
ADANI WIND ENERGY (TN) LIMITED,11945,adani wind energy (tn),adani,Adani Green Energy Limited,23934,94.0,adani wind,Win,51715,84.8,adani wind energy,Security Energy,12054,88.6,ADANI
ADANI WIND ENERGY KUTCHH FIVE LIMITED,11991,adani wind energy kutchh five,adani,Adani Green Energy,97102,92.0,adani wind,Win,51715,83.8,adani wind energy,Energy,79025,86.8,ADANI
ADITYA BIRLA ARC LIMITED,11934,aditya birla arc,aditya,Aditya Birla Nuvo,23948,95.8,aditya birla,Aditya Birla Nuvo,164633,95.8,aditya birla arc,Birla,165313,89.6,Aditya Birla
ADITYA BIRLA FINANCE LIMITED,11857,aditya birla finance,aditya,Aditya Birla Money,98349,95.8,aditya birla,Aditya Birla Money,98349,95.8,aditya birla finance,Aditya Birla Financial Services,97257,91.6,Aditya Birla
ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITE,11726,aditya birla sun life insurance company limite,aditya,Aditya Birla Sun Life Nifty IT ETF,162186,94.0,aditya birla,Aditya Birla Sun Life Nifty IT ETF,162186,94.0,aditya birla sun,Aditya Birla Sun Life Nifty IT ETF,162186,94.0,Aditya Birla
AEP TEXAS INC.,21944,aep texas,aep,AEP Industries,58909,92.2,aep texas,EXA,59850,90.0,aep texas,EXA,59850,90.0,AEP Texas Central
AEP Texas Central Company,20771,aep texas central company,aep,AEP Texas Central 4% Preferred,142258,93.8,aep texas,AEP Texas Central 4% Preferred,142258,93.8,aep texas central,AEP Texas Central 4% Preferred,142258,93.8,AEP Texas Central
